DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0145-ESP,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,14285,23044,61.98958593432169
2004-0146-CAN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0146-USA,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,4500,7259,61.98958593432169
2004-0147-TJK,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0149-NAM,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0150-FSM,No,No,Yes,7494,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0152-KEN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0153-FJI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,4000,6453,61.98958593432169
2004-0156-PER,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0158-DJI,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0159-AGO,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0159-BWA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0159-NAM,No,No,No,26,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0159-ZMB,No,No,No,43,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0163-BIH,No,No,Yes,45,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0164-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1797,2899,61.98958593432169
2004-0166-BGD,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0169-BIH,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0172-RUS,No,No,Yes,Unknown,Unknown,Unknown,16000,25811,50000,80659,61.98958593432169
2004-0173-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0177-IDN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0178-IND,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0179-KGZ,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0180-SAU,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0182-CHN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,6000,9679,61.98958593432169
2004-0192-KGZ,No,Yes,No,46,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0194-KEN,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0196-USA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0200-PER,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0201-DZA,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0202-COL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0208-RUS,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0209-TUR,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0214-CRI,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,61.98958593432169
2004-0218-PHL,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,1000,1613,61.98958593432169
