DisNo.,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI
2004-0473-VIR,No,No,No,,,,,,,,61.98958593432169
2004-0476-PAN,Yes,No,Yes,,,,,,,,61.98958593432169
2004-0489-IND,No,No,No,,,,,,,,61.98958593432169
2004-0492-JPN,No,No,No,,,,,,740000.0,1193749.0,61.98958593432169
2004-0494-GNB,No,No,No,,,,,,,,61.98958593432169
2004-0499-SOM,No,No,No,,,,,,,,61.98958593432169
2004-0500-KOR,No,No,No,,,,,,1047.0,1689.0,61.98958593432169
2004-0500-PRK,No,No,No,,,,,,,,61.98958593432169
2004-0501-THA,No,No,No,,,,,,,,61.98958593432169
2004-0502-USA,No,No,No,,,,,,2100.0,3388.0,61.98958593432169
2004-0509-BGD,No,No,No,,,,,,,,61.98958593432169
2004-0509-IND,No,No,No,,,,,,,,61.98958593432169
2004-0511-JPN,No,No,No,,,,241000.0,388775.0,603000.0,972744.0,61.98958593432169
2004-0520-COL,No,No,Yes,,,,,,,,61.98958593432169
2004-0522-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0524-JPN,No,No,No,,,,1100000.0,1774492.0,2300000.0,3710301.0,61.98958593432169
2004-0532-JPN,Yes,No,No,49.0,,,760000.0,1226012.0,28000000.0,45168877.0,61.98958593432169
2004-0534-PAN,No,No,No,,,,,,,,61.98958593432169
2004-0535-TWN,No,No,No,,,,,,,,61.98958593432169
2004-0537-AUS,No,No,Yes,,,,,,5500.0,8872.0,61.98958593432169
2004-0540-UGA,No,No,No,,,,,,,,61.98958593432169
2004-0541-CAF,No,No,No,,,,,,,,61.98958593432169
2004-0547-THA,No,No,No,,,,,,,,61.98958593432169
2004-0556-CRI,No,No,No,,,,,,,,61.98958593432169
2004-0562-IDN,Yes,Yes,No,1614.0,,,,,,,61.98958593432169
2004-0563-JPN,No,No,No,,,,,,,,61.98958593432169
2004-0567-DZA,No,No,No,,,,,,,,61.98958593432169
2004-0568-ITA,No,No,No,,,,,,,,61.98958593432169
2004-0571-CHN,No,No,No,,,,,,,,61.98958593432169
2004-0572-USA,No,No,Yes,,,,,,1000.0,1613.0,61.98958593432169
2004-0575-COL,No,No,No,,,,,,,,61.98958593432169
2004-0580-PHL,No,No,No,,,,,,6000.0,9679.0,61.98958593432169
2004-0580-VNM,No,No,No,,,,,,23000.0,37103.0,61.98958593432169
2004-0582-DMA,Yes,No,No,,,,,,,,61.98958593432169
2004-0582-GLP,No,No,No,,,,,,,,61.98958593432169
2004-0584-SVK,No,No,No,50.0,,,,,383300.0,618330.0,61.98958593432169
2004-0588-TTO,No,No,No,,,,,,,,61.98958593432169
2004-0589-AUS,No,No,No,,,,,,10000.0,16132.0,61.98958593432169
2004-0590-MYS,No,No,No,,,,,,,,61.98958593432169
2004-0591-UGA,No,No,No,,,,,,,,61.98958593432169
2004-0596-IRL,No,No,No,,,,,,,,61.98958593432169
2004-0599-CRI,No,No,No,,,,,,,,61.98958593432169
2004-0600-TUR,No,No,No,,,,,,,,61.98958593432169
2004-0601-MEX,No,No,No,,,,,,,,61.98958593432169
